,location
204,"40.80682722455197,-73.9477154525226"
205,"40.81152996164335,-73.96174424701154"
206,"40.81078587720173,-73.95475553108844"
207,"40.81103823237548,-73.95730569474279"
208,"40.81103823237548,-73.95730569474279"
209,"40.81103823237548,-73.95730569474279"
210,"40.81103823237548,-73.95730569474279"
211,"40.811599956726624,-73.95331134338572"
212,"40.811599956726624,-73.95331134338572"
213,"40.811599956726624,-73.95331134338572"
214,"40.81116275919015,-73.95772214451355"
215,"40.81116275919015,-73.95772214451355"
216,"40.81116275919015,-73.95772214451355"
217,"40.81116275919015,-73.95772214451355"
218,"40.804991791891815,-73.94989811909588"
219,"40.8100151316299,-73.94775741339224"
220,"40.8100151316299,-73.94775741339224"
221,"40.81348159878891,-73.94742693866677"
222,"40.81348159878891,-73.94742693866677"
223,"40.81378387825206,-73.94871470920808"
224,"40.81378387825206,-73.94871470920808"
225,"40.81378387825206,-73.94871470920808"
226,"40.81378387825206,-73.94871470920808"
227,"40.81378387825206,-73.94871470920808"
228,"40.81378387825206,-73.94871470920808"
229,"40.81454176732928,-73.95488207906978"
230,"40.81174850901861,-73.95135196007293"
231,"40.81174850901861,-73.95135196007293"
232,"40.77358649446143,-73.94677144557716"
233,"40.78929587062166,-73.94612628038374"
234,"40.79546113237792,-73.94268104420951"
235,"40.79677859691268,-73.94762615141784"
236,"40.79677859691268,-73.94762615141784"
237,"40.79677859691268,-73.94762615141784"
238,"40.79677859691268,-73.94762615141784"
239,"40.79677859691268,-73.94762615141784"
240,"40.79323182082468,-73.94429654413996"
241,"40.79130306828859,-73.93836130339055"
242,"40.79130306828859,-73.93836130339055"
243,"40.79130306828859,-73.93836130339055"
244,"40.79369876061546,-73.94342085592945"
245,"40.789047551518514,-73.94910630656416"
246,"40.79136240463875,-73.94958532935937"
247,"40.788590228764086,-73.94589247330106"
248,"40.79839482739112,-73.94418600570214"
249,"40.79603114506589,-73.94799582781579"
250,"40.79603114506589,-73.94799582781579"
251,"40.7888989495999,-73.95124028645485"
252,"40.79124188114036,-73.94164816762417"
253,"40.79400145857629,-73.94814546774543"
254,"40.79319301684484,-73.94612977857459"
255,"40.79422358611989,-73.93790083947583"
256,"40.78933213973863,-73.95168897256698"
257,"40.79431397099224,-73.94944329327825"
258,"40.79431397099224,-73.94944329327825"
259,"40.794316628285785,-73.9501988985334"
260,"40.79537175613866,-73.9452222044228"
261,"40.79537175613866,-73.9452222044228"
262,"40.79537175613866,-73.9452222044228"
263,"40.786207678784734,-73.94361942929015"
264,"40.78879466526842,-73.94585740628698"
265,"40.78966018436773,-73.9517417770853"
266,"40.78512277137288,-73.94215205950366"
267,"40.78512277137288,-73.94215205950366"
268,"40.78512277137288,-73.94215205950366"
269,"40.79862691840732,-73.94421576606352"
270,"40.79233545004148,-73.94116723007535"
271,"40.79417564020894,-73.93724229512738"
272,"40.78937470546668,-73.94987491695036"
273,"40.7888284278388,-73.94002320038122"
274,"40.7888284278388,-73.94002320038122"
275,"40.7888284278388,-73.94002320038122"
276,"40.7888284278388,-73.94002320038122"
277,"40.79255376066068,-73.93870142350839"
278,"40.78860524816251,-73.94431118987345"
279,"40.79822689126337,-73.94617206168434"
280,"40.785544066176094,-73.9410256484942"
281,"40.8176726844839,-73.94756447644767"
282,"40.81938577678577,-73.94259012628362"
283,"40.81907416507131,-73.94398697095463"
284,"40.81339231870203,-73.94288538426675"
285,"40.81339231870203,-73.94288538426675"
286,"40.82088972400972,-73.9408748048553"
287,"40.82088972400972,-73.9408748048553"
288,"40.82088972400972,-73.9408748048553"
289,"40.82088972400972,-73.9408748048553"
290,"40.82088972400972,-73.9408748048553"
291,"40.81953943100195,-73.9383680366555"
292,"40.81953943100195,-73.9383680366555"
293,"40.81953943100195,-73.9383680366555"
294,"40.81953943100195,-73.9383680366555"
295,"40.81953943100195,-73.9383680366555"
296,"40.82104371330424,-73.9399714172345"
297,"40.81576691365117,-73.94782024310015"
298,"40.81828404218067,-73.94034623703298"
299,"40.8179365572175,-73.94811194827142"
300,"40.81654118675424,-73.94740770445726"
301,"40.81654118675424,-73.94740770445726"
302,"40.81891712651362,-73.94108045229287"
303,"40.81523791288292,-73.94241241000454"
304,"40.8176707915168,-73.94312124254262"
305,"40.82004917663701,-73.94396827860659"
306,"40.82004917663701,-73.94396827860659"
307,"40.82004917663701,-73.94396827860659"
308,"40.82004917663701,-73.94396827860659"
309,"40.8276355269479,-73.94947794447859"
310,"40.821662417364806,-73.95030405443438"
311,"40.821662417364806,-73.95030405443438"
312,"40.823250106565695,-73.95020543197887"
313,"40.823250106565695,-73.95020543197887"
314,"40.823250106565695,-73.95020543197887"
315,"40.823250106565695,-73.95020543197887"
316,"40.823250106565695,-73.95020543197887"
317,"40.826238926778,-73.95234517135398"
318,"40.826238926778,-73.95234517135398"
319,"40.818730373775786,-73.95456925884176"
320,"40.828191144797294,-73.94448667132158"
321,"40.831208494919146,-73.94458448762994"
322,"40.831208494919146,-73.94458448762994"
323,"40.81859191541582,-73.95382756729344"
324,"40.81859191541582,-73.95382756729344"
325,"40.82578463227578,-73.94823253727569"
326,"40.82845948036324,-73.94552653069971"
327,"40.82582868160331,-73.95319852637056"
328,"40.82582868160331,-73.95319852637056"
329,"40.82144190781534,-73.95469529520163"
330,"40.82997225121676,-73.94853794671893"
331,"40.82352652116886,-73.95118277452143"
332,"40.82352652116886,-73.95118277452143"
333,"40.82352652116886,-73.95118277452143"
334,"40.82352652116886,-73.95118277452143"
335,"40.82352652116886,-73.95118277452143"
336,"40.82352652116886,-73.95118277452143"
337,"40.82111702816084,-73.95677288819859"
338,"40.821401734404674,-73.95462312905289"
339,"40.82190820364948,-73.95112644432783"
340,"40.82190820364948,-73.95112644432783"
341,"40.82190820364948,-73.95112644432783"
342,"40.82190820364948,-73.95112644432783"
343,"40.83044303657116,-73.94504625018743"
344,"40.83044303657116,-73.94504625018743"
345,"40.83044303657116,-73.94504625018743"
346,"40.83044303657116,-73.94504625018743"
347,"40.83548736923959,-73.94098174741625"
348,"40.83548736923959,-73.94098174741625"
349,"40.83548736923959,-73.94098174741625"
350,"40.83155252159487,-73.94037264896619"
351,"40.83575754829948,-73.93920695868545"
352,"40.834888330791614,-73.94203340004489"
353,"40.84409558103492,-73.93578037271074"
354,"40.84409558103492,-73.93578037271074"
355,"40.84352176505003,-73.9377161956813"
356,"40.84352176505003,-73.9377161956813"
357,"40.84352176505003,-73.9377161956813"
358,"40.84352176505003,-73.9377161956813"
359,"40.8377559446517,-73.93747514515078"
360,"40.83012834756824,-73.94190135472215"
361,"40.84200429852408,-73.9373665840026"
362,"40.84200429852408,-73.9373665840026"
363,"40.84200429852408,-73.9373665840026"
364,"40.84200429852408,-73.9373665840026"
365,"40.83682384400241,-73.94781661689152"
366,"40.83298254995905,-73.94303548418004"
367,"40.83298254995905,-73.94303548418004"
