,location
1728,"40.84436533530341,-73.90968422166637"
1729,"40.84436533530341,-73.90968422166637"
1730,"40.84436533530341,-73.90968422166637"
1731,"40.84436533530341,-73.90968422166637"
1732,"40.84436533530341,-73.90968422166637"
1733,"40.84436533530341,-73.90968422166637"
1734,"40.843916519878746,-73.89403051112934"
1735,"40.85319698394631,-73.89548708457994"
1736,"40.839138329218486,-73.90070688588175"
1737,"40.84212836308539,-73.8923426969285"
1738,"40.84212836308539,-73.8923426969285"
1739,"40.84212836308539,-73.8923426969285"
1740,"40.84212836308539,-73.8923426969285"
1741,"40.84212836308539,-73.8923426969285"
1742,"40.84212836308539,-73.8923426969285"
1743,"40.84212836308539,-73.8923426969285"
1744,"40.84212836308539,-73.8923426969285"
1745,"40.84212836308539,-73.8923426969285"
1746,"40.84212836308539,-73.8923426969285"
1747,"40.85245508530718,-73.898435115306"
1748,"40.85245508530718,-73.898435115306"
1749,"40.843930865857295,-73.89381322155737"
1750,"40.84816695309668,-73.9016683971825"
1751,"40.85786282995623,-73.89919330345201"
1752,"40.8469976779905,-73.90865510196689"
1753,"40.8469976779905,-73.90865510196689"
1754,"40.84428964883927,-73.90854781917187"
1755,"40.84428964883927,-73.90854781917187"
1756,"40.84428964883927,-73.90854781917187"
1757,"40.84428964883927,-73.90854781917187"
1758,"40.85066777971579,-73.89493583849512"
1759,"40.85066777971579,-73.89493583849512"
1760,"40.85004661535816,-73.89153735740668"
1761,"40.85004661535816,-73.89153735740668"
1762,"40.85044841314939,-73.901342432636"
1763,"40.85044841314939,-73.901342432636"
1764,"40.844389185061054,-73.90331851803661"
1765,"40.84329877556723,-73.89464609166241"
1766,"40.84329877556723,-73.89464609166241"
1767,"40.84329877556723,-73.89464609166241"
1768,"40.8568568532987,-73.89605251475"
1769,"40.8568568532987,-73.89605251475"
1770,"40.8568568532987,-73.89605251475"
1771,"40.8568568532987,-73.89605251475"
1772,"40.8568568532987,-73.89605251475"
1773,"40.8568568532987,-73.89605251475"
1774,"40.8568568532987,-73.89605251475"
1775,"40.8568568532987,-73.89605251475"
1776,"40.85492646443389,-73.89317867517832"
1777,"40.85492646443389,-73.89317867517832"
1778,"40.86031582900738,-73.88786821274289"
1779,"40.86819783571888,-73.8880157707668"
1780,"40.86819783571888,-73.8880157707668"
1781,"40.86819783571888,-73.8880157707668"
1782,"40.85661362021117,-73.89870678246555"
1783,"40.85661362021117,-73.89870678246555"
1784,"40.867259086394974,-73.88809555500501"
1785,"40.867259086394974,-73.88809555500501"
1786,"40.867259086394974,-73.88809555500501"
1787,"40.867259086394974,-73.88809555500501"
1788,"40.85761159305565,-73.89165070431395"
1789,"40.863428918078114,-73.89139546997849"
1790,"40.863428918078114,-73.89139546997849"
1791,"40.872083891399264,-73.8819094102907"
1792,"40.87093573531554,-73.88861320359467"
1793,"40.87093573531554,-73.88861320359467"
1794,"40.87093573531554,-73.88861320359467"
1795,"40.87093573531554,-73.88861320359467"
1796,"40.87093573531554,-73.88861320359467"
1797,"40.85344431622052,-73.88405624911088"
1798,"40.85344431622052,-73.88405624911088"
1799,"40.85852558872676,-73.88827854295575"
1800,"40.85852558872676,-73.88827854295575"
1801,"40.85852558872676,-73.88827854295575"
1802,"40.87019423851008,-73.88396520348995"
1803,"40.87019423851008,-73.88396520348995"
1804,"40.87019423851008,-73.88396520348995"
1805,"40.87019423851008,-73.88396520348995"
1806,"40.87091094232108,-73.88457932244856"
1807,"40.87091094232108,-73.88457932244856"
1808,"40.86993897252484,-73.88787987041196"
1809,"40.86993897252484,-73.88787987041196"
1810,"40.86993897252484,-73.88787987041196"
1811,"40.86993897252484,-73.88787987041196"
1812,"40.865192412720255,-73.88964696469827"
1813,"40.865192412720255,-73.88964696469827"
1814,"40.865192412720255,-73.88964696469827"
1815,"40.86883783555202,-73.88865864540284"
1816,"40.86883783555202,-73.88865864540284"
1817,"40.86883783555202,-73.88865864540284"
1818,"40.85737384649558,-73.89919400303033"
1819,"40.85737384649558,-73.89919400303033"
1820,"40.85737384649558,-73.89919400303033"
1821,"40.85737384649558,-73.89919400303033"
1822,"40.87259149962213,-73.88732046814017"
1823,"40.87259149962213,-73.88732046814017"
1824,"40.87259149962213,-73.88732046814017"
1825,"40.85450781527297,-73.89324737285315"
1826,"40.85450781527297,-73.89324737285315"
1827,"40.871464691996685,-73.88906971393756"
1828,"40.871464691996685,-73.88906971393756"
1829,"40.871464691996685,-73.88906971393756"
1830,"40.871464691996685,-73.88906971393756"
1831,"40.85795779988538,-73.88807939961136"
1832,"40.86242560865982,-73.89574981165472"
1833,"40.86242560865982,-73.89574981165472"
1834,"40.87185299783294,-73.88627729998971"
1835,"40.87185299783294,-73.88627729998971"
1836,"40.87185299783294,-73.88627729998971"
1837,"40.87185299783294,-73.88627729998971"
1838,"40.87185299783294,-73.88627729998971"
1839,"40.857496008555806,-73.88978618050274"
1840,"40.857496008555806,-73.88978618050274"
1841,"40.858763291071824,-73.88936500738443"
1842,"40.866523924158656,-73.88781892583141"
1843,"40.866523924158656,-73.88781892583141"
1844,"40.866523924158656,-73.88781892583141"
1845,"40.866523924158656,-73.88781892583141"
1846,"40.866523924158656,-73.88781892583141"
1847,"40.867701796596535,-73.88078888284147"
1848,"40.867701796596535,-73.88078888284147"
1849,"40.867701796596535,-73.88078888284147"
1850,"40.867701796596535,-73.88078888284147"
1851,"40.85786417772689,-73.89749028158782"
1852,"40.85786417772689,-73.89749028158782"
1853,"40.85786417772689,-73.89749028158782"
1854,"40.85786417772689,-73.89749028158782"
1855,"40.85786417772689,-73.89749028158782"
1856,"40.85786417772689,-73.89749028158782"
1857,"40.85786417772689,-73.89749028158782"
1858,"40.85786417772689,-73.89749028158782"
1859,"40.85786417772689,-73.89749028158782"
1860,"40.85786417772689,-73.89749028158782"
1861,"40.8606577106897,-73.89329096221569"
1862,"40.8606577106897,-73.89329096221569"
1863,"40.8606577106897,-73.89329096221569"
1864,"40.8606577106897,-73.89329096221569"
1865,"40.87009909074639,-73.88669517325285"
1866,"40.87009909074639,-73.88669517325285"
1867,"40.87009909074639,-73.88669517325285"
1868,"40.87009909074639,-73.88669517325285"
1869,"40.87009909074639,-73.88669517325285"
1870,"40.87009909074639,-73.88669517325285"
1871,"40.864023603915975,-73.89092204036048"
1872,"40.864023603915975,-73.89092204036048"
1873,"40.85733198123867,-73.89654528664249"
1874,"40.85733198123867,-73.89654528664249"
1875,"40.85733198123867,-73.89654528664249"
1876,"40.85733198123867,-73.89654528664249"
1877,"40.85733198123867,-73.89654528664249"
1878,"40.85733198123867,-73.89654528664249"
1879,"40.85733198123867,-73.89654528664249"
1880,"40.85733198123867,-73.89654528664249"
1881,"40.85733198123867,-73.89654528664249"
1882,"40.85733198123867,-73.89654528664249"
1883,"40.85733198123867,-73.89654528664249"
1884,"40.85588384421637,-73.89008981736627"
1885,"40.85588384421637,-73.89008981736627"
1886,"40.85651438138262,-73.89356115102375"
1887,"40.85651438138262,-73.89356115102375"
1888,"40.85651438138262,-73.89356115102375"
1889,"40.86299930264108,-73.89577781364228"
1890,"40.86299930264108,-73.89577781364228"
1891,"40.866052499853375,-73.89306986587829"
1892,"40.866052499853375,-73.89306986587829"
1893,"40.87194909277432,-73.8858396312981"
1894,"40.87194909277432,-73.8858396312981"
1895,"40.87194909277432,-73.8858396312981"
1896,"40.87194909277432,-73.8858396312981"
1897,"40.87194909277432,-73.8858396312981"
1898,"40.87194909277432,-73.8858396312981"
1899,"40.87194909277432,-73.8858396312981"
1900,"40.87194909277432,-73.8858396312981"
1901,"40.87194909277432,-73.8858396312981"
1902,"40.87194909277432,-73.8858396312981"
1903,"40.87194909277432,-73.8858396312981"
1904,"40.86641811650047,-73.89313508832012"
1905,"40.86641811650047,-73.89313508832012"
1906,"40.863918638829695,-73.89380923697291"
1907,"40.863918638829695,-73.89380923697291"
1908,"40.863918638829695,-73.89380923697291"
1909,"40.863918638829695,-73.89380923697291"
1910,"40.86638317907375,-73.89372762980086"
1911,"40.86638317907375,-73.89372762980086"
1912,"40.86275053031719,-73.89422743492271"
1913,"40.86275053031719,-73.89422743492271"
1914,"40.86275053031719,-73.89422743492271"
1915,"40.8659187519875,-73.89146150967927"
1916,"40.8659187519875,-73.89146150967927"
1917,"40.8659187519875,-73.89146150967927"
1918,"40.8659187519875,-73.89146150967927"
1919,"40.8659187519875,-73.89146150967927"
1920,"40.8659187519875,-73.89146150967927"
1921,"40.8659187519875,-73.89146150967927"
1922,"40.8659187519875,-73.89146150967927"
1923,"40.86622446127031,-73.88921167613212"
1924,"40.86622446127031,-73.88921167613212"
1925,"40.86622446127031,-73.88921167613212"
1926,"40.86622446127031,-73.88921167613212"
1927,"40.86622446127031,-73.88921167613212"
1928,"40.86622446127031,-73.88921167613212"
1929,"40.86606595759331,-73.88695131449164"
1930,"40.86606595759331,-73.88695131449164"
1931,"40.86606595759331,-73.88695131449164"
1932,"40.86606595759331,-73.88695131449164"
1933,"40.86606595759331,-73.88695131449164"
1934,"40.8635426771649,-73.89340765199907"
1935,"40.8635426771649,-73.89340765199907"
1936,"40.8635426771649,-73.89340765199907"
1937,"40.8635426771649,-73.89340765199907"
1938,"40.8635426771649,-73.89340765199907"
1939,"40.8635426771649,-73.89340765199907"
1940,"40.8635426771649,-73.89340765199907"
1941,"40.8635426771649,-73.89340765199907"
1942,"40.8603018522044,-73.89658064420101"
1943,"40.824543923435535,-73.8927292216566"
1944,"40.82696576369921,-73.8961961198409"
1945,"40.82696576369921,-73.8961961198409"
1946,"40.83131995246311,-73.89435385908226"
1947,"40.82339576626866,-73.89564348882857"
1948,"40.823055817665,-73.89086148300588"
1949,"40.823055817665,-73.89086148300588"
1950,"40.823055817665,-73.89086148300588"
1951,"40.823055817665,-73.89086148300588"
1952,"40.823055817665,-73.89086148300588"
1953,"40.82776591584257,-73.89428392395673"
1954,"40.82776591584257,-73.89428392395673"
1955,"40.82776591584257,-73.89428392395673"
1956,"40.81870717360236,-73.90033477159616"
1957,"40.81870717360236,-73.90033477159616"
1958,"40.81870717360236,-73.90033477159616"
1959,"40.81870717360236,-73.90033477159616"
1960,"40.82402431439294,-73.8909859280618"
1961,"40.82402431439294,-73.8909859280618"
1962,"40.82402431439294,-73.8909859280618"
1963,"40.82402431439294,-73.8909859280618"
1964,"40.82402431439294,-73.8909859280618"
1965,"40.82402431439294,-73.8909859280618"
1966,"40.82402431439294,-73.8909859280618"
1967,"40.82431008633692,-73.89588872156108"
1968,"40.82651286208182,-73.89462991514593"
1969,"40.81883876624406,-73.89275361112927"
1970,"40.81883876624406,-73.89275361112927"
1971,"40.82928931809656,-73.88699549786631"
1972,"40.81867930987395,-73.90345386260087"
1973,"40.81844205882375,-73.90342281871024"
1974,"40.82904173367014,-73.89166696696996"
1975,"40.82904173367014,-73.89166696696996"
1976,"40.824330458845445,-73.88975884463059"
1977,"40.824330458845445,-73.88975884463059"
1978,"40.824330458845445,-73.88975884463059"
1979,"40.83394544344635,-73.89201913272393"
1980,"40.83052532217663,-73.89211338284116"
1981,"40.82351779993477,-73.89069257643851"
1982,"40.82351779993477,-73.89069257643851"
1983,"40.82351779993477,-73.89069257643851"
1984,"40.82351779993477,-73.89069257643851"
1985,"40.82351779993477,-73.89069257643851"
1986,"40.82351779993477,-73.89069257643851"
1987,"40.82857358583387,-73.89030381321847"
1988,"40.82857358583387,-73.89030381321847"
1989,"40.82857358583387,-73.89030381321847"
1990,"40.83028426999161,-73.89911650397796"
1991,"40.83028426999161,-73.89911650397796"
1992,"40.83028426999161,-73.89911650397796"
1993,"40.83028426999161,-73.89911650397796"
1994,"40.83028426999161,-73.89911650397796"
1995,"40.82590261180268,-73.89229627592736"
1996,"40.82590261180268,-73.89229627592736"
1997,"40.82327420341744,-73.88827067413179"
1998,"40.82327420341744,-73.88827067413179"
1999,"40.82327420341744,-73.88827067413179"
2000,"40.81829394972439,-73.89957609292037"
2001,"40.81829394972439,-73.89957609292037"
2002,"40.81829394972439,-73.89957609292037"
2003,"40.81829394972439,-73.89957609292037"
2004,"40.82033781535494,-73.90097553723389"
2005,"40.82033781535494,-73.90097553723389"
2006,"40.82033781535494,-73.90097553723389"
2007,"40.82345878212814,-73.88932232945926"
2008,"40.82345878212814,-73.88932232945926"
2009,"40.82345878212814,-73.88932232945926"
2010,"40.82345878212814,-73.88932232945926"
2011,"40.82345878212814,-73.88932232945926"
2012,"40.82345878212814,-73.88932232945926"
2013,"40.82345878212814,-73.88932232945926"
2014,"40.82345878212814,-73.88932232945926"
2015,"40.83010415380558,-73.88741248213353"
2016,"40.82731448282807,-73.89134505535426"
2017,"40.82731448282807,-73.89134505535426"
2018,"40.82731448282807,-73.89134505535426"
2019,"40.82354204156032,-73.90097947989119"
2020,"40.82354204156032,-73.90097947989119"
2021,"40.82525236677304,-73.89385125105674"
2022,"40.83123785182172,-73.89480165795761"
2023,"40.83123785182172,-73.89480165795761"
2024,"40.82720668493664,-73.88797580474481"
2025,"40.82720668493664,-73.88797580474481"
2026,"40.82720668493664,-73.88797580474481"
2027,"40.82524038964433,-73.89577341697445"
2028,"40.82623014007187,-73.89238113705112"
2029,"40.82623014007187,-73.89238113705112"
2030,"40.82623014007187,-73.89238113705112"
2031,"40.82623014007187,-73.89238113705112"
2032,"40.82990308745932,-73.8959154741149"
2033,"40.82990308745932,-73.8959154741149"
2034,"40.82653111831888,-73.8912500594522"
2035,"40.83885321595845,-73.86946854897609"
2036,"40.83885321595845,-73.86946854897609"
2037,"40.83885321595845,-73.86946854897609"
2038,"40.84038710142346,-73.88112001462497"
2039,"40.84038710142346,-73.88112001462497"
2040,"40.84038710142346,-73.88112001462497"
2041,"40.84038710142346,-73.88112001462497"
2042,"40.839092691836605,-73.87744749731684"
2043,"40.839092691836605,-73.87744749731684"
2044,"40.839092691836605,-73.87744749731684"
2045,"40.84309814010504,-73.87911831577549"
2046,"40.84413019541872,-73.87767593477555"
2047,"40.84413019541872,-73.87767593477555"
2048,"40.83888164735462,-73.88803675467328"
2049,"40.84607083767032,-73.88500972026824"
2050,"40.84607083767032,-73.88500972026824"
2051,"40.84475374312564,-73.88019668590633"
2052,"40.84475374312564,-73.88019668590633"
2053,"40.84475374312564,-73.88019668590633"
2054,"40.84475374312564,-73.88019668590633"
2055,"40.84475374312564,-73.88019668590633"
2056,"40.84475374312564,-73.88019668590633"
2057,"40.84475374312564,-73.88019668590633"
2058,"40.842294365429765,-73.88274439668425"
2059,"40.839017752313445,-73.8710228286659"
2060,"40.83243044260862,-73.88470049693632"
2061,"40.83243044260862,-73.88470049693632"
2062,"40.83828321601776,-73.88627952370405"
2063,"40.83828321601776,-73.88627952370405"
2064,"40.84034789069466,-73.8813091900243"
2065,"40.84034789069466,-73.8813091900243"
2066,"40.84034789069466,-73.8813091900243"
2067,"40.84034789069466,-73.8813091900243"
2068,"40.84034789069466,-73.8813091900243"
2069,"40.84269470446459,-73.88878337891218"
2070,"40.84269470446459,-73.88878337891218"
2071,"40.83947047968871,-73.88821742286541"
2072,"40.84701342271193,-73.88616522880645"
2073,"40.84701342271193,-73.88616522880645"
2074,"40.83545067165355,-73.88867259565686"
2075,"40.84141882338903,-73.88275076980321"
2076,"40.83887395850748,-73.88913755555542"
2077,"40.83887395850748,-73.88913755555542"
2078,"40.8403306977733,-73.86994697767001"
2079,"40.833464537167295,-73.88448356937124"
2080,"40.833464537167295,-73.88448356937124"
2081,"40.843821926428205,-73.8848177565263"
2082,"40.84153262880785,-73.88760238069716"
2083,"40.84153262880785,-73.88760238069716"
2084,"40.84153262880785,-73.88760238069716"
2085,"40.84193599944159,-73.88740286325631"
2086,"40.84193599944159,-73.88740286325631"
2087,"40.84193599944159,-73.88740286325631"
2088,"40.84193599944159,-73.88740286325631"
2089,"40.84019989358624,-73.88052242098188"
2090,"40.84019989358624,-73.88052242098188"
2091,"40.84019989358624,-73.88052242098188"
2092,"40.843919348969344,-73.8854800397933"
2093,"40.845202777508646,-73.88152247112129"
2094,"40.845202777508646,-73.88152247112129"
2095,"40.845202777508646,-73.88152247112129"
2096,"40.845202777508646,-73.88152247112129"
2097,"40.843760687185096,-73.88525260762175"
2098,"40.83291211405407,-73.88515813874017"
2099,"40.83291211405407,-73.88515813874017"
2100,"40.83291211405407,-73.88515813874017"
2101,"40.832450921833725,-73.88768311980773"
2102,"40.832450921833725,-73.88768311980773"
2103,"40.84210954069809,-73.88355157802472"
2104,"40.83542501074873,-73.88552201213537"
2105,"40.83542501074873,-73.88552201213537"
2106,"40.83542501074873,-73.88552201213537"
2107,"40.832034294646085,-73.88706412822663"
2108,"40.832034294646085,-73.88706412822663"
2109,"40.832034294646085,-73.88706412822663"
2110,"40.832034294646085,-73.88706412822663"
2111,"40.839632750739234,-73.87767167018937"
2112,"40.839632750739234,-73.87767167018937"
2113,"40.839632750739234,-73.87767167018937"
2114,"40.84252869672216,-73.88235461448035"
2115,"40.835802077894805,-73.88657324988498"
2116,"40.835802077894805,-73.88657324988498"
2117,"40.835802077894805,-73.88657324988498"
2118,"40.84077126580994,-73.88339569831524"
2119,"40.84077126580994,-73.88339569831524"
2120,"40.839701508938674,-73.8795857721119"
2121,"40.839701508938674,-73.8795857721119"
2122,"40.839701508938674,-73.8795857721119"
2123,"40.844375819243886,-73.88322575512383"
2124,"40.844375819243886,-73.88322575512383"
2125,"40.844375819243886,-73.88322575512383"
2126,"40.837118601222855,-73.88709011740823"
2127,"40.837118601222855,-73.88709011740823"
2128,"40.837118601222855,-73.88709011740823"
2129,"40.837118601222855,-73.88709011740823"
2130,"40.837118601222855,-73.88709011740823"
2131,"40.837118601222855,-73.88709011740823"
2132,"40.83563622936403,-73.8887327122141"
2133,"40.83803468647898,-73.83813807868648"
2134,"40.84600135126955,-73.83311560520208"
2135,"40.85451622613302,-73.84394475340802"
2136,"40.83928525593994,-73.84532747653749"
2137,"40.84769185584797,-73.83347073424197"
2138,"40.83793740150241,-73.84731053084052"
2139,"40.83819106959687,-73.84865441885228"
2140,"40.85067485699464,-73.83224215435743"
2141,"40.85067485699464,-73.83224215435743"
2142,"40.837645452058325,-73.84805288802528"
2143,"40.85458410889533,-73.84332126670172"
2144,"40.8527006556487,-73.86865372906247"
2145,"40.83601069410357,-73.86312534378095"
2146,"40.8342128295372,-73.8556601120615"
2147,"40.8342128295372,-73.8556601120615"
2148,"40.84561052823615,-73.85669396397908"
2149,"40.85302842341647,-73.86407624168575"
2150,"40.85302842341647,-73.86407624168575"
2151,"40.83448312626333,-73.85564534829194"
2152,"40.83448312626333,-73.85564534829194"
2153,"40.8411791434661,-73.85521121883968"
2154,"40.8411791434661,-73.85521121883968"
2155,"40.8411791434661,-73.85521121883968"
2156,"40.8381862875526,-73.85109132527444"
2157,"40.8381862875526,-73.85109132527444"
2158,"40.842402381772594,-73.85232979942424"
2159,"40.83904247355887,-73.85553770295057"
2160,"40.85064793202989,-73.86455965520273"
2161,"40.85235892075321,-73.86340844458405"
2162,"40.85235892075321,-73.86340844458405"
2163,"40.83634044264222,-73.85315351606376"
2164,"40.83634044264222,-73.85315351606376"
2165,"40.83634044264222,-73.85315351606376"
2166,"40.84722652387919,-73.85798100254118"
2167,"40.84995019193122,-73.86256391133506"
2168,"40.84995019193122,-73.86256391133506"
2169,"40.83668942968214,-73.85528231266787"
2170,"40.83668942968214,-73.85528231266787"
2171,"40.83561194412968,-73.86157554066617"
2172,"40.85025856155886,-73.8685302240154"
2173,"40.85097570840663,-73.8638397743841"
2174,"40.84521742260469,-73.8674510640351"
2175,"40.84481060760647,-73.86609155211822"
2176,"40.84481060760647,-73.86609155211822"
2177,"40.84962426901137,-73.85769998895566"
2178,"40.84560467042888,-73.85661984978681"
2179,"40.84946798312077,-73.86512543520716"
2180,"40.84946798312077,-73.86512543520716"
2181,"40.84946798312077,-73.86512543520716"
2182,"40.84946798312077,-73.86512543520716"
2183,"40.84946798312077,-73.86512543520716"
2184,"40.840967056529486,-73.85315931729006"
2185,"40.84509426236856,-73.86508315971741"
2186,"40.84509426236856,-73.86508315971741"
2187,"40.83568018049962,-73.86338542442246"
2188,"40.852249799597786,-73.86747886963434"
2189,"40.83638052330611,-73.8634776512328"
2190,"40.8432801122001,-73.86569372151614"
2191,"40.83795860420032,-73.85183210029983"
2192,"40.83796754673995,-73.85067278581435"
2193,"40.83796754673995,-73.85067278581435"
2194,"40.882785260204855,-73.90194931100837"
2195,"40.88755290451955,-73.90583853252105"
2196,"40.88465784441061,-73.89926241539419"
2197,"40.88465784441061,-73.89926241539419"
2198,"40.88123830696324,-73.89863033931226"
2199,"40.87096741909413,-73.90443075382962"
2200,"40.87096741909413,-73.90443075382962"
2201,"40.87096741909413,-73.90443075382962"
2202,"40.87096741909413,-73.90443075382962"
2203,"40.87096741909413,-73.90443075382962"
2204,"40.87517603666449,-73.90034150059229"
2205,"40.88099335855429,-73.90672833517654"
2206,"40.8875158904151,-73.91276566040311"
2207,"40.8875158904151,-73.91276566040311"
2208,"40.88236099288911,-73.89924232998233"
2209,"40.878053192524135,-73.90101818379847"
2210,"40.878053192524135,-73.90101818379847"
2211,"40.87775490116205,-73.9072840194729"
2212,"40.87775490116205,-73.9072840194729"
2213,"40.877944696637584,-73.90090941165809"
2214,"40.877944696637584,-73.90090941165809"
2215,"40.877944696637584,-73.90090941165809"
2216,"40.877944696637584,-73.90090941165809"
2217,"40.88115790177133,-73.89905458633805"
2218,"40.88040844266454,-73.89961891467975"
2219,"40.88223759635896,-73.89733459975312"
2220,"40.889437367137006,-73.91536212324341"
2221,"40.87864623113036,-73.9079818699064"
2222,"40.88300494753688,-73.9028749543511"
2223,"40.88300494753688,-73.9028749543511"
2224,"40.88300494753688,-73.9028749543511"
2225,"40.88300494753688,-73.9028749543511"
2226,"40.88300494753688,-73.9028749543511"
2227,"40.88300494753688,-73.9028749543511"
2228,"40.87480263481866,-73.90936664172708"
2229,"40.87480263481866,-73.90936664172708"
2230,"40.8782704772025,-73.9110374594923"
2231,"40.88480805175654,-73.90029091327814"
2232,"40.88480805175654,-73.90029091327814"
2233,"40.885215799201866,-73.90203615039489"
2234,"40.873907596288,-73.90244705051552"
2235,"40.873907596288,-73.90244705051552"
2236,"40.88088960829124,-73.90361693134884"
2237,"40.88088960829124,-73.90361693134884"
2238,"40.88088960829124,-73.90361693134884"
2239,"40.88295023416737,-73.89744318999162"
2240,"40.88295023416737,-73.89744318999162"
2241,"40.88295023416737,-73.89744318999162"
2242,"40.88295023416737,-73.89744318999162"
2243,"40.88295023416737,-73.89744318999162"
2244,"40.88295023416737,-73.89744318999162"
2245,"40.878349093552735,-73.90616180913244"
2246,"40.878349093552735,-73.90616180913244"
2247,"40.878349093552735,-73.90616180913244"
2248,"40.878349093552735,-73.90616180913244"
2249,"40.884886303898334,-73.89949485207882"
2250,"40.884886303898334,-73.89949485207882"
2251,"40.87661285037536,-73.90971550170669"
2252,"40.87661285037536,-73.90971550170669"
2253,"40.87661285037536,-73.90971550170669"
2254,"40.87661285037536,-73.90971550170669"
2255,"40.87661285037536,-73.90971550170669"
2256,"40.87661285037536,-73.90971550170669"
2257,"40.87661285037536,-73.90971550170669"
2258,"40.8792489206168,-73.90429713218629"
2259,"40.8792489206168,-73.90429713218629"
2260,"40.87325103341481,-73.90420753896275"
2261,"40.88321600230661,-73.90378347195434"
2262,"40.88321600230661,-73.90378347195434"
2263,"40.88321600230661,-73.90378347195434"
2264,"40.88321600230661,-73.90378347195434"
2265,"40.88321600230661,-73.90378347195434"
2266,"40.88321600230661,-73.90378347195434"
2267,"40.87786256888384,-73.90073986762701"
2268,"40.87786256888384,-73.90073986762701"
2269,"40.87786256888384,-73.90073986762701"
2270,"40.87786256888384,-73.90073986762701"
2271,"40.874568767875125,-73.90432419383939"
2272,"40.879842153098096,-73.89906831869776"
2273,"40.87004373663228,-73.90484384961127"
2274,"40.87004373663228,-73.90484384961127"
2275,"40.88663794196536,-73.90350557335373"
2276,"40.871451456986456,-73.90465816584496"
2277,"40.871451456986456,-73.90465816584496"
2278,"40.871451456986456,-73.90465816584496"
2279,"40.871451456986456,-73.90465816584496"
2280,"40.871451456986456,-73.90465816584496"
2281,"40.87897476756967,-73.90463207041513"
2282,"40.87897476756967,-73.90463207041513"
2283,"40.88510854516733,-73.90010450663004"
2284,"40.88510854516733,-73.90010450663004"
2285,"40.88774317057984,-73.91397256850445"
2286,"40.82133495865038,-73.81313079117541"
2287,"40.82892519888836,-73.8249041195095"
2288,"40.82892519888836,-73.8249041195095"
2289,"40.82349667675034,-73.82451651766685"
2290,"40.82971592533913,-73.81663188982141"
2291,"40.82802042108845,-73.82957672523972"
2292,"40.828107167263845,-73.82516429448978"
2293,"40.828107167263845,-73.82516429448978"
2294,"40.82937686975266,-73.82469524314992"
2295,"40.82937686975266,-73.82469524314992"
2296,"40.8182394478291,-73.81462941166701"
2297,"40.8182394478291,-73.81462941166701"
2298,"40.8182394478291,-73.81462941166701"
2299,"40.8182394478291,-73.81462941166701"
2300,"40.8182394478291,-73.81462941166701"
2301,"40.8182394478291,-73.81462941166701"
2302,"40.8182394478291,-73.81462941166701"
2303,"40.81883015401663,-73.82129652840977"
2304,"40.82045589709868,-73.82017830094026"
2305,"40.825274622388605,-73.82514456956436"
2306,"40.82016726312836,-73.81867742953887"
2307,"40.82363301556452,-73.82366993246538"
2308,"40.82669431238003,-73.8257265425853"
2309,"40.82669431238003,-73.8257265425853"
2310,"40.82604223909655,-73.8231281936388"
2311,"40.81928587789339,-73.81653932620618"
2312,"40.82045317691636,-73.81949048959643"
2313,"40.82014051111224,-73.82261699680562"
2314,"40.82014051111224,-73.82261699680562"
2315,"40.82324182634751,-73.82407690883545"
2316,"40.81944394122548,-73.81588864142925"
2317,"40.81944394122548,-73.81588864142925"
2318,"40.82633128427634,-73.82345938056129"
2319,"40.8186492158947,-73.81175519433137"
2320,"40.89205090129335,-73.85026165898033"
2321,"40.89093496414187,-73.85896933678777"
2322,"40.88877767286368,-73.85645142313352"
2323,"40.88877767286368,-73.85645142313352"
2324,"40.88877767286368,-73.85645142313352"
2325,"40.88877767286368,-73.85645142313352"
2326,"40.88883973307626,-73.85439310743324"
2327,"40.89474493217903,-73.85819748808017"
2328,"40.88721833433484,-73.84929450461324"
2329,"40.89191136036642,-73.85392863369485"
2330,"40.88744622846827,-73.84644958660323"
2331,"40.89423707660712,-73.8588065272602"
2332,"40.89423707660712,-73.8588065272602"
2333,"40.89180867340247,-73.8434560386726"
2334,"40.884048549181216,-73.84348509979974"
2335,"40.88573013772685,-73.85284835442484"
2336,"40.88573013772685,-73.85284835442484"
2337,"40.88292524044247,-73.84671224230343"
2338,"40.88292524044247,-73.84671224230343"
2339,"40.8853165664953,-73.85398608075674"
2340,"40.8927761405861,-73.85810753410507"
2341,"40.8927761405861,-73.85810753410507"
2342,"40.8927761405861,-73.85810753410507"
2343,"40.8927761405861,-73.85810753410507"
2344,"40.8927761405861,-73.85810753410507"
2345,"40.8927761405861,-73.85810753410507"
2346,"40.88541931081907,-73.8538574327988"
2347,"40.88776128608065,-73.85321450936102"
2348,"40.89413691893338,-73.8469576293527"
2349,"40.89413691893338,-73.8469576293527"
2350,"40.89413691893338,-73.8469576293527"
2351,"40.88153698579875,-73.84557339510162"
2352,"40.89347923634926,-73.85696224317468"
2353,"40.89347923634926,-73.85696224317468"
2354,"40.89347923634926,-73.85696224317468"
2355,"40.89094952378743,-73.85336860252015"
2356,"40.89094952378743,-73.85336860252015"
2357,"40.88660636221574,-73.8484383625808"
2358,"40.891911038758366,-73.84569045523816"
2359,"40.8952842962812,-73.85735696081093"
2360,"40.894890796996535,-73.8577003912266"
2361,"40.88520124545691,-73.84297808069692"
2362,"40.88240769406239,-73.84801157518939"
2363,"40.88240769406239,-73.84801157518939"
2364,"40.88425322474097,-73.8407461088318"
