,zipcode,size,amount_built
245,10504,large,0.0
246,10506,small,0.0
247,10506,medium,0.0
248,10506,large,1.0
249,10507,small,0.0
250,10507,medium,1.0
251,10507,large,0.0
252,10509,small,0.0
253,10509,medium,0.0
254,10509,large,0.0
255,10510,small,0.0
256,10510,medium,0.0
257,10510,large,0.0
258,10511,small,0.0
259,10511,medium,1.0
260,10511,large,0.0
261,10512,small,0.0
262,10512,medium,0.0
263,10512,large,3.0
264,10514,small,0.0
265,10514,medium,1.0
266,10514,large,0.0
267,10516,small,1.0
268,10516,medium,0.0
269,10516,large,0.0
270,10520,small,0.0
271,10520,medium,0.0
272,10520,large,0.0
273,10522,small,0.0
274,10522,medium,0.0
275,10522,large,0.0
276,10523,small,0.0
277,10523,medium,0.0
278,10523,large,0.0
279,10524,small,0.0
280,10524,medium,1.0
281,10524,large,0.0
282,10527,small,0.0
283,10527,medium,0.0
284,10527,large,0.0
285,10528,small,0.0
286,10528,medium,0.0
287,10528,large,0.0
288,10530,small,0.0
289,10530,medium,0.0
290,10530,large,2.0
291,10532,small,0.0
292,10532,medium,0.0
293,10532,large,0.0
294,10533,small,1.0
295,10533,medium,0.0
296,10533,large,1.0
297,10535,small,0.0
298,10535,medium,0.0
299,10535,large,0.0
300,10536,small,0.0
301,10536,medium,0.0
302,10536,large,1.0
303,10538,small,0.0
304,10538,medium,0.0
305,10538,large,2.0
306,10541,small,0.0
307,10541,medium,0.0
308,10541,large,1.0
309,10543,small,0.0
310,10543,medium,0.0
311,10543,large,1.0
312,10547,small,0.0
313,10547,medium,0.0
314,10547,large,0.0
315,10548,small,0.0
316,10548,medium,0.0
317,10548,large,1.0
318,10549,small,1.0
319,10549,medium,0.0
320,10549,large,1.0
321,10550,small,0.0
322,10550,medium,0.0
323,10550,large,5.0
324,10552,small,1.0
325,10552,medium,0.0
326,10552,large,2.0
327,10553,small,0.0
328,10553,medium,1.0
329,10553,large,1.0
330,10560,small,1.0
331,10560,medium,0.0
332,10560,large,1.0
333,10562,small,0.0
334,10562,medium,0.0
335,10562,large,2.0
336,10566,small,0.0
337,10566,medium,0.0
338,10566,large,1.0
339,10567,small,0.0
340,10567,medium,0.0
341,10567,large,3.0
342,10570,small,1.0
343,10570,medium,0.0
344,10570,large,1.0
345,10573,small,0.0
346,10573,medium,0.0
347,10573,large,4.0
348,10576,small,0.0
349,10576,medium,1.0
350,10576,large,0.0
351,10577,small,0.0
352,10577,medium,0.0
353,10577,large,0.0
354,10579,small,0.0
355,10579,medium,0.0
356,10579,large,0.0
357,10580,small,0.0
358,10580,medium,0.0
359,10580,large,2.0
360,10583,small,0.0
361,10583,medium,0.0
362,10583,large,2.0
363,10588,small,1.0
364,10588,medium,0.0
365,10588,large,1.0
366,10589,small,0.0
367,10589,medium,1.0
368,10589,large,0.0
369,10590,small,1.0
370,10590,medium,0.0
371,10590,large,0.0
372,10591,small,0.0
373,10591,medium,0.0
374,10591,large,0.0
375,10594,small,1.0
376,10594,medium,0.0
377,10594,large,1.0
378,10595,small,0.0
379,10595,medium,0.0
380,10595,large,0.0
381,10598,small,0.0
382,10598,medium,0.0
383,10598,large,0.0
384,10601,small,0.0
385,10601,medium,0.0
386,10601,large,0.0
387,10603,small,0.0
388,10603,medium,1.0
389,10603,large,3.0
390,10604,small,0.0
391,10604,medium,0.0
392,10604,large,0.0
393,10605,small,0.0
394,10605,medium,0.0
395,10605,large,0.0
396,10606,small,0.0
397,10606,medium,0.0
398,10606,large,0.0
399,10607,small,0.0
400,10607,medium,0.0
401,10607,large,0.0
402,10701,small,0.0
403,10701,medium,0.0
404,10701,large,10.0
405,10703,small,0.0
406,10703,medium,0.0
407,10703,large,3.0
408,10704,small,0.0
409,10704,medium,0.0
410,10704,large,6.0
411,10705,small,0.0
412,10705,medium,0.0
413,10705,large,4.0
414,10706,small,0.0
415,10706,medium,0.0
416,10706,large,0.0
417,10707,small,0.0
418,10707,medium,0.0
419,10707,large,1.0
420,10708,small,1.0
421,10708,medium,0.0
422,10708,large,3.0
423,10709,small,1.0
424,10709,medium,0.0
425,10709,large,1.0
426,10710,small,0.0
427,10710,medium,0.0
428,10710,large,4.0
429,10801,small,0.0
430,10801,medium,0.0
431,10801,large,2.0
432,10803,small,0.0
433,10803,medium,1.0
434,10803,large,0.0
435,10804,small,0.0
436,10804,medium,0.0
437,10804,large,0.0
438,10805,small,1.0
439,10805,medium,0.0
440,10805,large,3.0
441,10901,small,0.0
442,10901,medium,0.0
443,10901,large,2.0
444,10913,small,0.0
445,10913,medium,0.0
446,10913,large,0.0
447,10916,small,0.0
448,10916,medium,0.0
449,10916,large,1.0
450,10917,small,0.0
451,10917,medium,0.0
452,10917,large,1.0
453,10918,small,0.0
454,10918,medium,0.0
455,10918,large,2.0
456,10919,small,0.0
457,10919,medium,0.0
458,10919,large,0.0
459,10920,small,0.0
460,10920,medium,0.0
461,10920,large,0.0
462,10921,small,0.0
463,10921,medium,0.0
464,10921,large,0.0
465,10923,small,1.0
466,10923,medium,0.0
467,10923,large,2.0
468,10924,small,0.0
469,10924,medium,0.0
470,10924,large,1.0
471,10925,small,0.0
472,10925,medium,1.0
473,10925,large,0.0
474,10926,small,0.0
475,10926,medium,0.0
476,10926,large,1.0
477,10927,small,0.0
478,10927,medium,0.0
479,10927,large,2.0
480,10928,small,0.0
481,10928,medium,0.0
482,10928,large,1.0
483,10930,small,0.0
484,10930,medium,0.0
485,10930,large,1.0
486,10940,small,0.0
487,10940,medium,0.0
488,10940,large,7.0
489,10941,small,0.0
490,10941,medium,0.0
491,10941,large,0.0
492,10950,small,0.0
493,10950,medium,0.0
494,10950,large,26.0
495,10952,small,0.0
496,10952,medium,0.0
497,10952,large,23.0
498,10954,small,0.0
499,10954,medium,0.0
500,10954,large,4.0
501,10956,small,0.0
502,10956,medium,0.0
503,10956,large,0.0
504,10960,small,1.0
505,10960,medium,0.0
506,10960,large,0.0
507,10962,small,0.0
508,10962,medium,0.0
509,10962,large,1.0
510,10963,small,0.0
511,10963,medium,1.0
512,10963,large,0.0
513,10964,small,0.0
514,10964,medium,0.0
515,10964,large,0.0
516,10965,small,0.0
517,10965,medium,0.0
518,10965,large,1.0
519,10968,small,0.0
520,10968,medium,0.0
521,10968,large,0.0
522,10970,small,0.0
523,10970,medium,1.0
524,10970,large,3.0
525,10973,small,0.0
526,10973,medium,0.0
527,10973,large,0.0
528,10974,small,0.0
529,10974,medium,0.0
530,10974,large,1.0
531,10977,small,0.0
532,10977,medium,0.0
533,10977,large,22.0
534,10980,small,0.0
535,10980,medium,0.0
536,10980,large,2.0
537,10983,small,0.0
538,10983,medium,1.0
539,10983,large,0.0
540,10984,small,0.0
541,10984,medium,0.0
542,10984,large,1.0
543,10987,small,0.0
544,10987,medium,1.0
545,10987,large,0.0
546,10989,small,1.0
547,10989,medium,0.0
548,10989,large,0.0
549,10990,small,0.0
550,10990,medium,0.0
551,10990,large,1.0
552,10992,small,0.0
553,10992,medium,0.0
554,10992,large,1.0
555,10993,small,0.0
556,10993,medium,0.0
557,10993,large,0.0
558,10994,small,0.0
559,10994,medium,0.0
560,10994,large,0.0
561,10998,small,0.0
562,10998,medium,0.0
563,10998,large,1.0
564,11001,small,0.0
565,11001,medium,0.0
566,11001,large,3.0
567,11003,small,0.0
568,11003,medium,0.0
569,11003,large,7.0
570,11004,small,0.0
571,11004,medium,0.0
572,11004,large,3.0
573,11010,small,0.0
574,11010,medium,0.0
575,11010,large,5.0
576,11020,small,1.0
577,11020,medium,0.0
578,11020,large,0.0
579,11021,small,0.0
580,11021,medium,0.0
581,11021,large,2.0
582,11023,small,1.0
583,11023,medium,0.0
584,11023,large,1.0
585,11024,small,0.0
586,11024,medium,0.0
587,11024,large,1.0
588,11030,small,0.0
589,11030,medium,0.0
590,11030,large,1.0
591,11040,small,0.0
592,11040,medium,0.0
593,11040,large,2.0
594,11050,small,0.0
595,11050,medium,0.0
596,11050,large,0.0
597,11096,small,0.0
598,11096,medium,0.0
599,11096,large,2.0
600,11101,small,0.0
601,11101,medium,0.0
602,11101,large,6.0
603,11102,small,0.0
604,11102,medium,0.0
605,11102,large,4.0
606,11103,small,0.0
607,11103,medium,0.0
608,11103,large,5.0
609,11104,small,0.0
610,11104,medium,0.0
611,11104,large,5.0
