,facility_code,category,slot_expanded
232,848481,under5,0.0
233,848481,over5,0.0
234,73506,under5,33.0
235,73506,over5,0.0
236,736322,under5,0.0
237,736322,over5,0.0
238,801925,under5,0.0
239,801925,over5,0.0
240,712081,under5,1.0
241,712081,over5,0.0
242,613980,under5,0.0
243,613980,over5,0.0
244,913240,under5,0.0
245,913240,over5,0.0
246,333086,under5,0.0
247,333086,over5,0.0
248,866851,under5,0.0
249,866851,over5,0.0
250,880314,under5,0.0
251,880314,over5,0.0
252,73544,under5,0.0
253,73544,over5,0.0
254,74092,under5,0.0
255,74092,over5,0.0
256,826115,under5,0.0
257,826115,over5,0.0
258,853113,under5,0.0
259,853113,over5,0.0
260,412458,under5,0.0
261,412458,over5,0.0
262,380174,under5,0.0
263,380174,over5,0.0
264,64373,under5,0.0
265,64373,over5,0.0
266,52235,under5,0.0
267,52235,over5,0.0
268,73566,under5,13.0
269,73566,over5,0.0
270,848308,under5,25.0
271,848308,over5,0.0
272,741983,under5,0.0
273,741983,over5,0.0
274,66813,under5,0.0
275,66813,over5,0.0
276,826825,under5,45.0
277,826825,over5,0.0
278,431806,under5,0.0
279,431806,over5,0.0
280,825380,under5,0.0
281,825380,over5,0.0
282,852478,under5,0.0
283,852478,over5,0.0
284,804630,under5,60.0
285,804630,over5,0.0
286,817242,under5,0.0
287,817242,over5,0.0
288,679107,under5,0.0
289,679107,over5,0.0
290,664649,under5,0.0
291,664649,over5,0.0
292,808445,under5,0.0
293,808445,over5,0.0
294,805702,under5,45.0
295,805702,over5,0.0
296,879326,under5,40.0
297,879326,over5,0.0
298,905115,under5,0.0
299,905115,over5,0.0
300,892293,under5,21.0
301,892293,over5,0.0
302,702707,under5,0.0
303,702707,over5,0.0
304,741994,under5,0.0
305,741994,over5,0.0
306,822384,under5,0.0
307,822384,over5,0.0
308,741992,under5,0.0
309,741992,over5,0.0
310,613926,under5,0.0
311,613926,over5,0.0
312,563447,under5,0.0
313,563447,over5,0.0
314,772592,under5,0.0
315,772592,over5,0.0
316,805710,under5,0.0
317,805710,over5,0.0
318,663226,under5,0.0
319,663226,over5,0.0
320,638201,under5,0.0
321,638201,over5,0.0
322,860035,under5,0.0
323,860035,over5,0.0
324,718134,under5,0.0
325,718134,over5,0.0
326,889399,under5,0.0
327,889399,over5,0.0
328,71190,under5,0.0
329,71190,over5,0.0
330,872586,under5,0.0
331,872586,over5,0.0
332,837717,under5,0.0
333,837717,over5,0.0
334,273359,under5,0.0
335,273359,over5,0.0
336,823536,under5,0.0
337,823536,over5,0.0
338,861501,under5,0.0
339,861501,over5,0.0
340,149672,under5,0.0
341,149672,over5,0.0
342,388170,under5,27.0
343,388170,over5,0.0
344,877353,under5,0.0
345,877353,over5,0.0
346,728352,under5,56.0
347,728352,over5,0.0
348,158689,under5,0.0
349,158689,over5,0.0
350,51742,under5,0.0
351,51742,over5,0.0
352,860160,under5,0.0
353,860160,over5,0.0
354,817683,under5,24.0
355,817683,over5,0.0
356,736567,under5,0.0
357,736567,over5,0.0
358,324437,under5,0.0
359,324437,over5,0.0
360,788797,under5,0.0
361,788797,over5,0.0
362,806960,under5,26.0
363,806960,over5,0.0
364,596999,under5,0.0
365,596999,over5,0.0
366,355028,under5,0.0
367,355028,over5,0.0
368,849222,under5,0.0
369,849222,over5,0.0
370,628344,under5,0.0
371,628344,over5,0.0
372,64496,under5,0.0
373,64496,over5,0.0
374,824561,under5,20.0
375,824561,over5,0.0
376,794872,under5,37.0
377,794872,over5,0.0
378,765494,under5,25.0
379,765494,over5,0.0
380,73540,under5,39.0
381,73540,over5,0.0
382,64447,under5,0.0
383,64447,over5,0.0
384,845170,under5,25.0
385,845170,over5,0.0
386,567083,under5,0.0
387,567083,over5,0.0
388,856033,under5,0.0
389,856033,over5,0.0
390,384331,under5,0.0
391,384331,over5,0.0
392,899398,under5,5.0
393,899398,over5,0.0
394,895454,under5,0.0
395,895454,over5,0.0
396,919478,under5,25.0
397,919478,over5,0.0
398,520607,under5,0.0
399,520607,over5,0.0
400,396566,under5,0.0
401,396566,over5,0.0
402,734382,under5,0.0
403,734382,over5,0.0
404,764256,under5,0.0
405,764256,over5,0.0
406,64687,under5,0.0
407,64687,over5,0.0
408,461108,under5,0.0
409,461108,over5,0.0
410,66981,under5,0.0
411,66981,over5,0.0
412,321229,under5,0.0
413,321229,over5,0.0
414,232906,under5,39.0
415,232906,over5,0.0
416,710423,under5,0.0
417,710423,over5,0.0
418,64700,under5,0.0
419,64700,over5,0.0
420,73528,under5,26.0
421,73528,over5,0.0
422,205735,under5,0.0
423,205735,over5,0.0
424,826823,under5,34.0
425,826823,over5,0.0
426,363015,under5,0.0
427,363015,over5,0.0
428,842148,under5,0.0
429,842148,over5,0.0
430,381536,under5,0.0
431,381536,over5,0.0
432,441669,under5,0.0
433,441669,over5,0.0
434,780996,under5,2.0
435,780996,over5,0.0
436,851678,under5,0.0
437,851678,over5,0.0
438,293780,under5,0.0
439,293780,over5,0.0
440,689611,under5,20.0
441,689611,over5,0.0
442,711608,under5,0.0
443,711608,over5,0.0
444,847805,under5,0.0
445,847805,over5,0.0
446,863892,under5,16.0
447,863892,over5,0.0
448,807349,under5,20.0
449,807349,over5,0.0
450,700756,under5,0.0
451,700756,over5,0.0
452,770034,under5,3.0
453,770034,over5,0.0
454,341945,under5,3.0
455,341945,over5,0.0
456,595105,under5,3.0
457,595105,over5,0.0
458,681425,under5,3.0
459,681425,over5,0.0
460,648667,under5,0.0
461,648667,over5,0.0
462,841386,under5,0.0
463,841386,over5,0.0
464,502212,under5,0.0
465,502212,over5,0.0
466,134369,under5,45.0
467,134369,over5,0.0
468,922068,under5,14.0
469,922068,over5,0.0
470,915847,under5,0.0
471,915847,over5,0.0
472,894061,under5,0.0
473,894061,over5,0.0
474,899891,under5,0.0
475,899891,over5,0.0
476,890633,under5,0.0
477,890633,over5,0.0
478,892595,under5,0.0
479,892595,over5,0.0
480,891660,under5,0.0
481,891660,over5,0.0
482,917184,under5,36.0
483,917184,over5,0.0
484,765038,under5,0.0
485,765038,over5,0.0
486,679417,under5,27.0
487,679417,over5,0.0
488,407256,under5,0.0
489,407256,over5,0.0
490,594704,under5,0.0
491,594704,over5,0.0
492,808817,under5,0.0
493,808817,over5,0.0
494,853367,under5,0.0
495,853367,over5,0.0
496,397208,under5,0.0
497,397208,over5,0.0
498,544662,under5,0.0
499,544662,over5,0.0
500,232875,under5,30.0
501,232875,over5,0.0
502,859167,under5,0.0
503,859167,over5,0.0
504,867683,under5,0.0
505,867683,over5,0.0
506,855186,under5,48.0
507,855186,over5,0.0
508,838037,under5,0.0
509,838037,over5,0.0
510,709901,under5,57.0
511,709901,over5,0.0
512,599414,under5,0.0
513,599414,over5,0.0
514,617208,under5,0.0
515,617208,over5,0.0
516,816574,under5,0.0
517,816574,over5,0.0
518,223515,under5,27.0
519,223515,over5,0.0
520,806271,under5,0.0
521,806271,over5,0.0
522,790360,under5,0.0
523,790360,over5,0.0
524,782815,under5,0.0
525,782815,over5,0.0
526,709912,under5,35.0
527,709912,over5,0.0
528,332842,under5,0.0
529,332842,over5,0.0
530,514042,under5,0.0
531,514042,over5,0.0
532,102905,under5,0.0
533,102905,over5,0.0
534,822562,under5,0.0
535,822562,over5,0.0
536,109496,under5,0.0
537,109496,over5,0.0
538,158113,under5,0.0
539,158113,over5,0.0
540,857868,under5,0.0
541,857868,over5,0.0
542,709911,under5,29.0
543,709911,over5,0.0
544,689581,under5,24.0
545,689581,over5,0.0
546,74205,under5,28.0
547,74205,over5,0.0
548,775110,under5,0.0
549,775110,over5,0.0
550,709905,under5,58.0
551,709905,over5,0.0
552,610480,under5,0.0
553,610480,over5,0.0
554,875256,under5,0.0
555,875256,over5,0.0
556,822559,under5,0.0
557,822559,over5,0.0
558,709903,under5,0.0
559,709903,over5,0.0
560,880728,under5,0.0
561,880728,over5,0.0
562,647184,under5,0.0
563,647184,over5,0.0
564,307824,under5,0.0
565,307824,over5,0.0
566,818576,under5,0.0
567,818576,over5,0.0
568,760416,under5,0.0
569,760416,over5,0.0
570,827667,under5,0.0
571,827667,over5,0.0
572,386679,under5,0.0
573,386679,over5,0.0
574,824251,under5,0.0
575,824251,over5,0.0
576,709904,under5,27.0
577,709904,over5,0.0
578,128506,under5,0.0
579,128506,over5,0.0
580,913092,under5,0.0
581,913092,over5,0.0
582,895048,under5,0.0
583,895048,over5,0.0
584,917506,under5,0.0
585,917506,over5,0.0
586,906213,under5,0.0
587,906213,over5,0.0
588,914340,under5,0.0
589,914340,over5,0.0
590,915061,under5,0.0
591,915061,over5,0.0
592,895588,under5,0.0
593,895588,over5,0.0
594,892021,under5,0.0
595,892021,over5,0.0
596,907178,under5,28.0
597,907178,over5,0.0
598,915285,under5,6.0
599,915285,over5,0.0
600,913400,under5,0.0
601,913400,over5,0.0
602,470089,under5,0.0
603,470089,over5,0.0
604,71275,under5,0.0
605,71275,over5,0.0
606,912608,under5,60.0
607,912608,over5,0.0
608,860161,under5,0.0
609,860161,over5,0.0
610,742495,under5,19.0
611,742495,over5,0.0
612,73945,under5,0.0
613,73945,over5,0.0
614,139195,under5,39.0
615,139195,over5,0.0
616,843508,under5,0.0
617,843508,over5,0.0
618,796436,under5,37.0
619,796436,over5,0.0
620,64935,under5,0.0
621,64935,over5,0.0
622,626319,under5,0.0
623,626319,over5,0.0
624,276019,under5,0.0
625,276019,over5,0.0
626,818044,under5,29.0
627,818044,over5,0.0
628,748552,under5,58.0
629,748552,over5,0.0
630,848698,under5,0.0
631,848698,over5,0.0
632,817908,under5,0.0
633,817908,over5,0.0
634,709893,under5,0.0
635,709893,over5,0.0
636,674921,under5,0.0
637,674921,over5,0.0
638,735663,under5,0.0
639,735663,over5,0.0
640,872251,under5,0.0
641,872251,over5,0.0
642,689616,under5,0.0
643,689616,over5,0.0
644,515372,under5,0.0
645,515372,over5,0.0
646,878365,under5,32.0
647,878365,over5,0.0
648,847691,under5,20.0
649,847691,over5,0.0
650,796160,under5,32.0
651,796160,over5,0.0
652,258374,under5,46.0
653,258374,over5,0.0
654,710472,under5,0.0
655,710472,over5,0.0
656,872614,under5,0.0
657,872614,over5,0.0
658,674207,under5,0.0
659,674207,over5,0.0
660,428571,under5,0.0
661,428571,over5,0.0
662,608383,under5,0.0
663,608383,over5,0.0
664,244334,under5,0.0
665,244334,over5,0.0
666,64926,under5,0.0
667,64926,over5,0.0
668,64855,under5,0.0
669,64855,over5,0.0
670,867540,under5,0.0
671,867540,over5,0.0
672,73512,under5,28.0
673,73512,over5,0.0
674,788379,under5,0.0
675,788379,over5,0.0
676,744778,under5,17.0
677,744778,over5,0.0
678,848766,under5,0.0
679,848766,over5,0.0
680,750783,under5,0.0
681,750783,over5,0.0
682,136955,under5,0.0
683,136955,over5,0.0
684,856735,under5,0.0
685,856735,over5,0.0
686,241556,under5,0.0
687,241556,over5,0.0
688,158181,under5,0.0
689,158181,over5,0.0
690,443640,under5,0.0
691,443640,over5,0.0
